TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
20 anos,F,Parda,Brasileiro(a),2018,Não Respondeu,3127701,31,MG,Presente,Presente,Presente,Presente,775.2,708.9,672.9,840.4,920.0,N
17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,4305108,43,RS,Presente,Presente,Presente,Presente,378.8,379.0,439.4,444.3,600.0,G
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2601201,26,PE,Presente,Presente,Presente,Presente,584.4,604.3,613.6,695.5,620.0,E
21 anos,F,Parda,Brasileiro(a),2017,Não Respondeu,2510808,25,PB,Faltou,Presente,Presente,Faltou,,545.1,541.8,,580.0,D
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2603454,26,PE,Presente,Presente,Presente,Presente,528.2,467.5,549.6,599.5,660.0,G
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,4104303,41,PR,Presente,Presente,Presente,Presente,495.5,526.2,563.3,484.7,480.0,D
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,4101507,41,PR,Presente,Presente,Presente,Presente,429.1,413.0,386.6,465.3,420.0,E
20 anos,M,Parda,Brasileiro(a),2018,Não Respondeu,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,D
19 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2111300,21,MA,Presente,Presente,Presente,Presente,402.6,401.5,463.5,485.6,380.0,D
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,2607901,26,PE,Presente,Presente,Presente,Presente,391.9,411.3,383.9,503.1,0.0,B
21 anos,F,Amarela,Brasileiro(a),2017,Não Respondeu,1500800,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,C
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,1501402,15,PA,Presente,Presente,Presente,Presente,451.6,443.0,401.9,456.7,420.0,C
Entre 36 e 40 anos,F,Preta,Brasileiro(a),Antes de 2007,Não Respondeu,3205101,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3138807,31,MG,Presente,Presente,Presente,Presente,527.4,470.0,451.2,499.4,880.0,M
Entre 36 e 40 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,F
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,3526902,35,SP,Presente,Presente,Presente,Presente,581.8,644.1,592.5,699.0,640.0,E
Entre 36 e 40 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,1500800,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,F
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3303401,33,RJ,Presente,Presente,Presente,Presente,528.1,609.6,500.0,580.5,620.0,B
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,5300108,53,DF,Presente,Presente,Presente,Presente,504.1,556.4,506.1,453.8,480.0,H
18 anos,F,Branca,"Brasileiro(a)Nato(a),nascido(a)no exterior",Não informado,Pública,4113502,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,J
19 anos,M,Parda,Brasileiro(a),2020,Não Respondeu,2304400,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
19 anos,M,Parda,Brasileiro(a),Não informado,Pública,2313906,23,CE,Presente,Presente,Presente,Presente,508.4,425.1,472.2,413.3,520.0,B
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2012,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,534.1,578.4,540.9,603.7,460.0,D
20 anos,M,Preta,Brasileiro(a),2020,Não Respondeu,2600054,26,PE,Presente,Presente,Presente,Presente,465.5,430.6,490.4,458.0,600.0,D
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3201308,32,ES,Presente,Presente,Presente,Presente,481.9,552.9,489.9,593.2,720.0,F
19 anos,M,Branca,Brasileiro(a),Não informado,Pública,4128005,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,F
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,5208707,52,GO,Presente,Presente,Presente,Presente,483.0,509.3,513.2,497.6,780.0,B
17 anos,M,Branca,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,3303906,33,RJ,Presente,Presente,Presente,Presente,447.8,556.5,465.5,441.7,580.0,C
19 anos,F,Preta,Brasileiro(a),2020,Não Respondeu,1302603,13,AM,Faltou,Faltou,Faltou,Faltou,,,,,,A
18 anos,F,Preta,Brasileiro(a),Não informado,Pública,2313302,23,CE,Presente,Presente,Presente,Presente,453.0,521.4,433.2,414.8,540.0,A
